id,equip_id,job_id
1,1100001,1000
2,1101002,1100
3,1101002,1110
4,1101002,1111
5,1101002,1112
6,1101002,1120
7,1101002,1121
8,1101002,1122
9,1101003,1100
10,1101003,1110
11,1101003,1111
12,1101003,1112
13,1101003,1120
14,1101003,1121
15,1101003,1122
16,1101004,1100
17,1101004,1110
18,1101004,1111
19,1101004,1112
20,1101004,1120
21,1101004,1121
22,1101004,1122
23,1101005,1100
24,1101005,1110
25,1101005,1111
26,1101005,1112
27,1101005,1120
28,1101005,1121
29,1101005,1122
30,1101006,1100
31,1101006,1110
32,1101006,1111
33,1101006,1112
34,1101006,1120
35,1101006,1121
36,1101006,1122
37,1101007,1100
38,1101007,1110
39,1101007,1111
40,1101007,1112
41,1101007,1120
42,1101007,1121
43,1101007,1122
44,1101008,1100
45,1101008,1110
46,1101008,1111
47,1101008,1112
48,1101008,1120
49,1101008,1121
50,1101008,1122
51,1101009,1100
52,1101009,1110
53,1101009,1111
54,1101009,1112
55,1101009,1120
56,1101009,1121
57,1101009,1122
58,1101010,1100
59,1101010,1110
60,1101010,1111
61,1101010,1112
62,1101010,1120
63,1101010,1121
64,1101010,1122
65,1101011,1100
66,1101011,1110
67,1101011,1111
68,1101011,1112
69,1101011,1120
70,1101011,1121
71,1101011,1122
72,1101012,1100
73,1101012,1110
74,1101012,1111
75,1101012,1112
76,1101012,1120
77,1101012,1121
78,1101012,1122
79,1101013,1100
80,1101013,1110
81,1101013,1111
82,1101013,1112
83,1101013,1120
84,1101013,1121
85,1101013,1122
86,1101014,1100
87,1101014,1110
88,1101014,1111
89,1101014,1112
90,1101014,1120
91,1101014,1121
92,1101014,1122
93,1101015,1100
94,1101015,1110
95,1101015,1111
96,1101015,1112
97,1101015,1120
98,1101015,1121
99,1101015,1122
100,1101016,1100
101,1101016,1110
102,1101016,1111
103,1101016,1112
104,1101016,1120
105,1101016,1121
106,1101016,1122
107,1101017,1100
108,1101017,1110
109,1101017,1111
110,1101017,1112
111,1101017,1120
112,1101017,1121
113,1101017,1122
114,1101018,1100
115,1101018,1110
116,1101018,1111
117,1101018,1112
118,1101018,1120
119,1101018,1121
120,1101018,1122
121,1101019,1100
122,1101019,1110
123,1101019,1111
124,1101019,1112
125,1101019,1120
126,1101019,1121
127,1101019,1122
128,1101020,1100
129,1101020,1110
130,1101020,1111
131,1101020,1112
132,1101020,1120
133,1101020,1121
134,1101020,1122
135,1101021,1100
136,1101021,1110
137,1101021,1111
138,1101021,1112
139,1101021,1120
140,1101021,1121
141,1101021,1122
142,1101022,1100
143,1101022,1110
144,1101022,1111
145,1101022,1112
146,1101022,1120
147,1101022,1121
148,1101022,1122
149,1101023,1100
150,1101023,1110
151,1101023,1111
152,1101023,1112
153,1101023,1120
154,1101023,1121
155,1101023,1122
156,1101024,1100
157,1101024,1110
158,1101024,1111
